CapteurID,Quartier,TypeCapteur,DateInstallation,Statut,DerniereMAJ,Latitude,Longitude
CAP_0026,Zone_Industrielle,Capteur_Frequence,2023-08-21,En_Panne,2024-12-31 03:00:00,48.816639,2.304997
CAP_0027,Centre_Ville,Passerelle_IoT,2023-12-17,Actif,2024-12-30 17:00:00,48.812266,2.396706
CAP_0028,Zone_Industrielle,Passerelle_IoT,2023-10-15,En_Maintenance,2024-12-29 05:00:00,48.895967,2.338256
CAP_0029,Centre_Ville,Passerelle_IoT,2023-05-12,Actif,2024-12-29 03:00:00,48.850934,2.333521
CAP_0030,Centre_Ville,Capteur_Tension,2024-11-18,Actif,2024-12-30 10:00:00,48.883713,2.398383
CAP_0031,Quartier_Residentiel,Capteur_Tension,2023-11-23,Actif,2024-12-29 23:00:00,48.814021,2.394525
CAP_0032,Quartier_Residentiel,Capteur_Tension,2023-09-03,En_Maintenance,2024-12-31 04:00:00,48.833301,2.329432
CAP_0033,Zone_Commerciale,Capteur_Frequence,2024-03-28,Actif,2024-12-30 21:00:00,48.905005,2.310271
CAP_0034,Zone_Industrielle,Passerelle_IoT,2023-12-21,Actif,2024-12-29 16:00:00,48.823048,2.386368
CAP_0035,Zone_Industrielle,Compteur_Intelligent,2023-11-27,En_Maintenance,2024-12-30 14:00:00,48.835584,2.332561
CAP_0036,Zone_Industrielle,Passerelle_IoT,2024-01-20,En_Panne,2024-12-30 04:00:00,48.840024,2.355445
CAP_0037,Quartier_Residentiel,Passerelle_IoT,2024-10-08,En_Maintenance,2024-12-31 09:00:00,48.864545,2.349913
CAP_0038,Quartier_Residentiel,Capteur_Frequence,2023-03-21,En_Maintenance,2024-12-29 04:00:00,48.87659,2.398262
CAP_0039,Quartier_Residentiel,Capteur_Tension,2023-05-17,Actif,2024-12-31 03:00:00,48.868733,2.370131
CAP_0040,Centre_Ville,Capteur_Frequence,2024-04-19,En_Maintenance,2024-12-30 18:00:00,48.85507,2.319626
CAP_0041,Quartier_Residentiel,Compteur_Intelligent,2024-09-03,Actif,2024-12-30 09:00:00,48.81142,2.394449
CAP_0042,Centre_Ville,Passerelle_IoT,2023-04-30,En_Maintenance,2024-12-29 22:00:00,48.883719,2.310926
CAP_0043,Centre_Ville,Passerelle_IoT,2024-11-14,En_Panne,2024-12-30 11:00:00,48.861199,2.32761
CAP_0044,Zone_Commerciale,Capteur_Frequence,2024-01-24,En_Panne,2024-12-31 18:00:00,48.835382,2.370079
CAP_0045,Zone_Commerciale,Capteur_Frequence,2023-03-07,Actif,2024-12-29 17:00:00,48.832699,2.389079
CAP_0046,Zone_Industrielle,Capteur_Tension,2024-09-07,En_Panne,2024-12-29 07:00:00,48.813028,2.322609
CAP_0047,Centre_Ville,Capteur_Tension,2024-01-06,Actif,2024-12-31 02:00:00,48.850734,2.379402
CAP_0048,Centre_Ville,Compteur_Intelligent,2024-05-22,En_Maintenance,2024-12-29 21:00:00,48.895692,2.360084
CAP_0049,Zone_Industrielle,Compteur_Intelligent,2023-08-11,En_Panne,2024-12-29 10:00:00,48.857903,2.401838
CAP_0050,Centre_Ville,Passerelle_IoT,2024-08-05,En_Panne,2024-12-31 16:00:00,48.818287,2.401618
CAP_0051,Zone_Commerciale,Capteur_Tension,2023-05-06,En_Maintenance,2024-12-30 11:00:00,48.808228,2.367075
CAP_0052,Zone_Industrielle,Passerelle_IoT,2024-10-19,Actif,2024-12-29 23:00:00,48.814057,2.346704
CAP_0053,Quartier_Residentiel,Capteur_Tension,2024-07-29,Actif,2024-12-31 21:00:00,48.868282,2.377027
CAP_0054,Centre_Ville,Passerelle_IoT,2024-06-17,Actif,2024-12-31 11:00:00,48.808051,2.310363
CAP_0055,Zone_Industrielle,Compteur_Intelligent,2024-04-10,En_Maintenance,2024-12-30 20:00:00,48.850086,2.396492
CAP_0056,Zone_Industrielle,Passerelle_IoT,2024-01-18,Actif,2024-12-29 10:00:00,48.845439,2.34505
CAP_0057,Quartier_Residentiel,Passerelle_IoT,2023-06-16,En_Maintenance,2024-12-31 03:00:00,48.842995,2.376729
CAP_0058,Quartier_Residentiel,Capteur_Tension,2024-11-05,En_Panne,2024-12-30 16:00:00,48.850499,2.365411
CAP_0059,Zone_Commerciale,Passerelle_IoT,2023-01-12,En_Maintenance,2024-12-29 14:00:00,48.834017,2.364271
CAP_0060,Quartier_Residentiel,Capteur_Frequence,2024-04-08,Actif,2024-12-29 07:00:00,48.834878,2.366955
CAP_0061,Centre_Ville,Capteur_Frequence,2023-04-03,En_Maintenance,2024-12-31 02:00:00,48.865639,2.400532
CAP_0062,Centre_Ville,Passerelle_IoT,2024-10-19,En_Maintenance,2024-12-30 00:00:00,48.84765,2.321553
CAP_0063,Centre_Ville,Compteur_Intelligent,2023-07-30,Actif,2024-12-31 22:00:00,48.864855,2.314997
CAP_0064,Zone_Commerciale,Capteur_Frequence,2023-09-18,Actif,2024-12-29 01:00:00,48.885042,2.303696
CAP_0065,Zone_Industrielle,Compteur_Intelligent,2024-10-05,En_Panne,2024-12-31 03:00:00,48.836302,2.401975
CAP_0066,Zone_Commerciale,Capteur_Tension,2024-01-19,Actif,2024-12-31 20:00:00,48.903856,2.353183
CAP_0067,Centre_Ville,Passerelle_IoT,2023-02-18,Actif,2024-12-31 06:00:00,48.829964,2.31461
CAP_0068,Quartier_Residentiel,Capteur_Frequence,2023-10-01,En_Maintenance,2024-12-29 03:00:00,48.813702,2.341167
CAP_0069,Zone_Commerciale,Passerelle_IoT,2024-09-27,En_Panne,2024-12-29 08:00:00,48.873065,2.3718
CAP_0070,Centre_Ville,Compteur_Intelligent,2024-02-14,En_Maintenance,2024-12-31 11:00:00,48.894516,2.385177
CAP_0071,Zone_Industrielle,Passerelle_IoT,2023-10-10,Actif,2024-12-30 01:00:00,48.806702,2.341313
CAP_0072,Quartier_Residentiel,Passerelle_IoT,2023-06-05,Actif,2024-12-29 09:00:00,48.901382,2.355036
CAP_0073,Centre_Ville,Capteur_Tension,2023-02-09,En_Maintenance,2024-12-31 04:00:00,48.85304,2.350613
CAP_0074,Zone_Industrielle,Capteur_Frequence,2023-06-22,Actif,2024-12-31 06:00:00,48.829387,2.319956
CAP_0075,Zone_Commerciale,Compteur_Intelligent,2023-05-05,En_Maintenance,2024-12-29 18:00:00,48.822032,2.388773
CAP_0076,Quartier_Residentiel,Capteur_Tension,2023-04-18,Actif,2024-12-31 16:00:00,48.821119,2.353894
CAP_0077,Zone_Commerciale,Capteur_Tension,2024-10-13,En_Maintenance,2024-12-31 01:00:00,48.825505,2.353029
CAP_0078,Centre_Ville,Passerelle_IoT,2024-11-10,En_Panne,2024-12-29 09:00:00,48.89645,2.384019
CAP_0079,Zone_Industrielle,Compteur_Intelligent,2023-03-30,En_Maintenance,2024-12-29 04:00:00,48.873105,2.3253
CAP_0080,Centre_Ville,Capteur_Tension,2023-01-17,En_Panne,2024-12-31 14:00:00,48.858754,2.319327
CAP_0081,Zone_Commerciale,Capteur_Frequence,2023-02-09,Actif,2024-12-29 22:00:00,48.886916,2.364251
CAP_0082,Quartier_Residentiel,Capteur_Frequence,2024-06-16,Actif,2024-12-30 01:00:00,48.878446,2.309051
CAP_0083,Quartier_Residentiel,Capteur_Tension,2024-01-15,Actif,2024-12-31 03:00:00,48.840074,2.371509
CAP_0084,Centre_Ville,Compteur_Intelligent,2024-07-24,En_Panne,2024-12-31 05:00:00,48.812856,2.321421
CAP_0085,Centre_Ville,Passerelle_IoT,2023-08-14,Actif,2024-12-31 04:00:00,48.827974,2.390528
CAP_0086,Centre_Ville,Passerelle_IoT,2024-04-26,Actif,2024-12-30 18:00:00,48.810275,2.338504
CAP_0087,Zone_Commerciale,Compteur_Intelligent,2024-12-01,Actif,2024-12-29 13:00:00,48.902141,2.332493
CAP_0088,Quartier_Residentiel,Capteur_Tension,2024-02-12,Actif,2024-12-31 09:00:00,48.887433,2.327765
CAP_0089,Quartier_Residentiel,Capteur_Tension,2023-06-09,En_Maintenance,2024-12-29 09:00:00,48.849288,2.303063
CAP_0090,Quartier_Residentiel,Capteur_Frequence,2023-10-08,Actif,2024-12-30 05:00:00,48.905219,2.36866
CAP_0091,Zone_Commerciale,Capteur_Tension,2023-09-01,Actif,2024-12-30 22:00:00,48.838767,2.328519
CAP_0092,Zone_Commerciale,Compteur_Intelligent,2024-08-05,En_Maintenance,2024-12-29 17:00:00,48.887167,2.350575
CAP_0093,Zone_Industrielle,Capteur_Tension,2024-07-24,En_Panne,2024-12-30 19:00:00,48.815905,2.315953
CAP_0094,Zone_Industrielle,Compteur_Intelligent,2023-07-17,Actif,2024-12-29 13:00:00,48.885423,2.354685
CAP_0095,Centre_Ville,Passerelle_IoT,2024-07-12,Actif,2024-12-29 21:00:00,48.897679,2.395304
CAP_0096,Centre_Ville,Compteur_Intelligent,2024-06-22,En_Panne,2024-12-29 07:00:00,48.823717,2.324944
CAP_0097,Zone_Commerciale,Compteur_Intelligent,2024-05-07,Actif,2024-12-29 05:00:00,48.809357,2.360499
CAP_0098,Quartier_Residentiel,Capteur_Frequence,2024-02-14,En_Maintenance,2024-12-31 01:00:00,48.86258,2.353893
CAP_0099,Zone_Industrielle,Capteur_Tension,2023-01-14,Actif,2024-12-31 19:00:00,48.86567,2.373016
CAP_0100,Quartier_Residentiel,Capteur_Tension,2023-02-10,Actif,2024-12-31 07:00:00,48.899906,2.331333
