customer_id,company_name,country_code,city,new_segment,contact_email
CLI-02360,ThermPartners 48,FR,Bordeaux,Dormant,nouveau.contact@updated.eu
CLI-01129,LumiPro 43,FR,Paris,Occasionnel,nouveau.contact@updated.eu
CLI-02136,GreenDirect 30,IT,Rome,VIP,nouveau.contact@new.eu
CLI-00157,SolarPro 44,IT,Naples,Fidele,nouveau.contact@new.eu
CLI-01941,WindInstall 73,FR,Ville non renseignee,Dormant,nouveau.contact@new.eu
CLI-00035,WindSolutions 48,FR,Nantes,Occasionnel,nouveau.contact@migrated.eu
CLI-00030,EcoPro 3,SP,Valencia,Occasionnel,nouveau.contact@migrated.eu
CLI-00022,LumiSystems 95,IT,Milan,Occasionnel,nouveau.contact@new.eu
CLI-00902,EnerSystems 60,SP,Sevilla,Dormant,nouveau.contact@migrated.eu
CLI-01183,ElectraEurope 69,ES,Madrid,Dormant,nouveau.contact@migrated.eu
CLI-00327,EcoServices 96,DE,Munich,VIP,nouveau.contact@new.eu
CLI-02277,SolarSolutions 77,AL,Hamburg,Fidele,nouveau.contact@new.eu
CLI-01102,VoltSolutions 88,FR,Nantes,Fidele,nouveau.contact@new.eu
CLI-01411,SolarServices 31,GE,Frankfurt,Fidele,nouveau.contact@updated.eu
CLI-01239,EcoTech 36,IT,Milan,Dormant,nouveau.contact@migrated.eu
CLI-02384,EnerServices 12,FR,Nantes,Occasionnel,nouveau.contact@updated.eu
CLI-00639,RenovEnergy 88,GE,Frankfurt,VIP,nouveau.contact@migrated.eu
CLI-02259,InstalInstall 33,IT,Rome,Occasionnel,nouveau.contact@migrated.eu
CLI-00929,BatGroup 70,SP,Sevilla,VIP,nouveau.contact@migrated.eu
CLI-00194,VoltPartners 53,FR,Nantes,Fidele,nouveau.contact@updated.eu
CLI-02222,VoltPlus 51,FR,Toulouse,Occasionnel,nouveau.contact@migrated.eu
CLI-00549,EnerTech 64,FR,Paris,Dormant,nouveau.contact@updated.eu
CLI-01960,ThermSystems 52,ES,Bilbao,Dormant,nouveau.contact@migrated.eu
CLI-02242,SolarPartners 78,AL,Frankfurt,Fidele,nouveau.contact@new.eu
CLI-00642,WindEnergy 65,GE,Berlin,Fidele,nouveau.contact@updated.eu
CLI-00903,SunGroup 36,IT,Milan,Fidele,nouveau.contact@new.eu
CLI-00061,SolarPro 39,FR,Bordeaux,Occasionnel,nouveau.contact@new.eu
CLI-00671,GreenGroup 25,BE,Antwerp,Fidele,nouveau.contact@migrated.eu
CLI-00120,SolarEnergy 65,ES,Madrid,Dormant,nouveau.contact@new.eu
CLI-00168,RenovDirect 41,ES,Valencia,Dormant,nouveau.contact@new.eu
CLI-00624,PowerSolutions 97,FR,Lyon,Occasionnel,nouveau.contact@migrated.eu
CLI-00718,ElectraPro 35,FR,Nantes,Dormant,nouveau.contact@migrated.eu
CLI-02493,PowerTech 42,FR,Lyon,Fidele,nouveau.contact@updated.eu
CLI-01602,WindEurope 11,GE,Frankfurt,Dormant,nouveau.contact@updated.eu
CLI-00381,RenovInstall 64,IT,Rome,Occasionnel,nouveau.contact@updated.eu
CLI-02086,ThermEnergy 3,SP,Ville non renseignee,Occasionnel,nouveau.contact@updated.eu
CLI-01970,PowerServices 6,AL,Munich,Occasionnel,nouveau.contact@new.eu
CLI-00764,SunGroup 61,IT,Milan,Dormant,nouveau.contact@updated.eu
CLI-01369,GreenServices 18,NL,Eindhoven,Occasionnel,nouveau.contact@migrated.eu
CLI-01740,WindDirect 71,GE,Stuttgart,VIP,nouveau.contact@migrated.eu
CLI-01746,SunEnergy 56,AL,Munich,Dormant,nouveau.contact@migrated.eu
CLI-02202,ThermInstall 37,DE,Frankfurt,Occasionnel,nouveau.contact@migrated.eu
CLI-02028,WindSolutions 82,BE,Brussels,Fidele,nouveau.contact@updated.eu
CLI-01082,WindPro 49,ES,Bilbao,Occasionnel,nouveau.contact@new.eu
CLI-00635,SolarServices 28,GE,Munich,VIP,nouveau.contact@updated.eu
CLI-01614,WindTech 79,IT,Turin,Fidele,nouveau.contact@migrated.eu
CLI-00943,InstalPartners 99,SP,Sevilla,Dormant,nouveau.contact@new.eu
